Date,Total CLI - Daily,Total ED Visits - Daily,CLI Count - 7 day average,CLI Percent - Daily,CLI Percent - 7 day average,Total COVID - Daily,COVID Count - 7 day average,COVID Percent - Daily,COVID Percent - 7 day average
10/26/2021,,3152,,,,36,43,0.0,0.0
07/27/2020,82,2958,67,0.0,0.0,51,36,0.0,0.0
01/07/2022,,2503,,,,393,483,0.2,0.2
10/01/2020,65,2455,64,0.0,0.0,38,35,0.0,0.0
05/15/2021,91,2686,103,0.0,0.0,74,82,0.0,0.0
08/16/2020,66,2568,72,0.0,0.0,43,43,0.0,0.0
11/23/2021,,3004,,,,97,82,0.0,0.0
06/08/2020,98,2695,98,0.0,0.0,55,65,0.0,0.0
09/25/2021,,2810,,,,45,56,0.0,0.0
04/30/2020,279,2156,277,0.1,0.1,216,212,0.1,0.1
07/21/2021,,3301,,,,31,25,0.0,0.0
01/26/2022,,2321,,,,85,119,0.0,0.1
11/29/2021,,3396,,,,145,108,0.0,0.0
07/09/2020,70,2815,67,0.0,0.0,38,40,0.0,0.0
04/19/2021,140,3101,141,0.0,0.0,120,122,0.0,0.0
08/14/2020,68,2779,65,0.0,0.0,39,39,0.0,0.0
10/24/2021,,2566,,,,35,40,0.0,0.0
02/24/2022,,2839,,,,29,23,0.0,0.0
03/11/2020,135,3786,96,0.0,0.0,1,0,0.0,0.0
11/14/2021,,2518,,,,75,68,0.0,0.0
03/08/2020,76,3097,89,0.0,0.0,0,0,0.0,0.0
11/11/2021,,2762,,,,64,60,0.0,0.0
10/02/2021,,3005,,,,53,59,0.0,0.0
07/30/2020,86,2718,73,0.0,0.0,52,44,0.0,0.0
09/05/2021,,2892,,,,87,94,0.0,0.0
05/09/2020,206,1997,265,0.1,0.1,173,210,0.1,0.1
04/17/2021,156,2782,143,0.1,0.0,136,124,0.0,0.0
06/12/2021,38,2830,48,0.0,0.0,17,26,0.0,0.0
03/08/2022,,3081,,,,19,13,0.0,0.0
04/18/2020,246,1964,255,0.1,0.1,162,164,0.1,0.1
03/20/2020,194,2872,184,0.1,0.1,14,5,0.0,0.0
02/04/2021,74,2209,74,0.0,0.0,71,66,0.0,0.0
05/24/2020,168,2165,198,0.1,0.1,127,151,0.1,0.1
05/11/2021,101,3035,109,0.0,0.0,73,91,0.0,0.0
05/03/2021,145,3358,136,0.0,0.0,125,117,0.0,0.0
07/24/2020,61,2632,65,0.0,0.0,33,35,0.0,0.0
06/04/2021,47,2964,50,0.0,0.0,28,31,0.0,0.0
04/08/2020,283,2261,273,0.1,0.1,172,150,0.1,0.1
04/21/2021,142,2893,143,0.0,0.0,118,123,0.0,0.0
11/10/2021,,2984,,,,72,59,0.0,0.0
11/28/2021,,2737,,,,113,101,0.0,0.0
06/29/2021,,3208,,,,10,9,0.0,0.0
10/15/2021,,3048,,,,49,51,0.0,0.0
01/19/2022,,2607,,,,158,209,0.1,0.1
11/15/2021,,3085,,,,72,69,0.0,0.0
10/09/2020,67,2697,79,0.0,0.0,44,47,0.0,0.0
08/07/2020,75,2710,70,0.0,0.0,43,42,0.0,0.0
11/22/2020,197,2259,224,0.1,0.1,177,202,0.1,0.1
06/22/2020,68,2899,67,0.0,0.0,39,39,0.0,0.0
05/02/2020,294,2285,284,0.1,0.1,228,220,0.1,0.1
11/30/2021,,3351,,,,146,115,0.0,0.0
01/09/2021,126,2189,139,0.1,0.1,112,125,0.1,0.1
06/11/2021,48,3024,50,0.0,0.0,23,27,0.0,0.0
03/19/2021,77,2477,65,0.0,0.0,56,48,0.0,0.0
03/17/2021,64,2544,56,0.0,0.0,47,42,0.0,0.0
08/18/2020,68,2872,76,0.0,0.0,40,47,0.0,0.0
03/07/2022,,3033,,,,13,12,0.0,0.0
11/26/2021,,2831,,,,104,94,0.0,0.0
06/19/2021,30,2768,34,0.0,0.0,9,11,0.0,0.0
11/27/2020,239,2500,215,0.1,0.1,217,193,0.1,0.1
04/22/2021,149,2958,141,0.1,0.0,122,121,0.0,0.0
