CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
JE307469,07/18/2021 05:00:00 PM,044XX W ADAMS ST,0820,THEFT,$500 AND UNDER,APARTMENT,N,N,1113,28,06,1146905,1898645,41.877851463,-87.736067119,"(41.877851463, -87.736067119)"
JE305859,07/18/2021 05:40:00 PM,051XX N KEATING AVE,0810,THEFT,OVER $500,RESIDENCE,N,Y,1712,39,06,1143706,1933747,41.974235348,-87.746931764,"(41.974235348, -87.746931764)"
JE226939,05/11/2021 04:35:00 PM,042XX W WILCOX ST,0326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,Y,N,1115,28,03,1148051,1898997,41.87879543,-87.731850193,"(41.87879543, -87.731850193)"
JE294197,07/07/2021 10:00:00 PM,043XX S TALMAN AVE,0810,THEFT,OVER $500,STREET,N,N,922,15,06,1159425,1875718,41.814688993,-87.690726504,"(41.814688993, -87.690726504)"
JE293008,07/07/2021 06:30:00 AM,009XX N RICHMOND ST,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE - GARAGE,N,N,1211,26,05,1156551,1906203,41.898401666,-87.70044453,"(41.898401666, -87.70044453)"
JE292923,07/07/2021 02:33:00 AM,009XX W GARFIELD BLVD,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,N,934,20,14,1170975,1868364,41.794264015,-87.648574564,"(41.794264015, -87.648574564)"
JE298746,07/06/2021 06:30:00 PM,038XX W 79TH PL,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,N,N,834,18,11,1152140,1851598,41.748646377,-87.718082116,"(41.748646377, -87.718082116)"
JE293421,07/07/2021 01:59:00 PM,015XX E 54TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,234,5,14,1187400,1869894,41.798087643,-87.588296815,"(41.798087643, -87.588296815)"
JE305957,07/18/2021 07:30:00 PM,079XX S GREENWOOD AVE,0560,ASSAULT,SIMPLE,RESIDENCE,N,Y,624,8,08A,1184928,1852621,41.750747416,-87.597903632,"(41.750747416, -87.597903632)"
JE305287,07/18/2021 04:50:00 AM,0000X E LAKE ST,0312,ROBBERY,ARMED - KNIFE / CUTTING INSTRUMENT,APARTMENT,N,N,111,42,03,1176931,1901744,41.885728999,-87.625725853,"(41.885728999, -87.625725853)"
JF139650,02/10/2022 02:35:00 AM,001XX W 46TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,215,3,08B,1176143,1874415,41.810754012,-87.629442101,"(41.810754012, -87.629442101)"
JE306050,07/18/2021 09:36:00 PM,053XX S MOBILE AVE,0460,BATTERY,SIMPLE,STREET,N,N,811,23,08B,1135278,1868608,41.795639287,-87.779470406,"(41.795639287, -87.779470406)"
JE301389,07/14/2021 02:50:00 AM,030XX W FULLERTON AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE - GARAGE,N,N,1414,32,05,1155786,1915801,41.92475484,-87.702995255,"(41.92475484, -87.702995255)"
JE305980,07/18/2021 08:00:00 PM,076XX N SHERIDAN RD,0560,ASSAULT,SIMPLE,NURSING / RETIREMENT HOME,N,N,2422,49,08A,1165527,1950516,42.019811963,-87.666209262,"(42.019811963, -87.666209262)"
JE305123,07/17/2021 11:49:00 PM,079XX S KINGSTON AVE,0530,ASSAULT,AGGRAVATED - OTHER DANGEROUS WEAPON,APARTMENT,Y,N,422,7,04A,1194565,1852814,41.751045556,-87.56258335,"(41.751045556, -87.56258335)"
JE305742,07/18/2021 04:30:00 AM,026XX W 12TH PL,1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENCE,N,N,1023,28,14,1158755,1894288,41.865660898,-87.692676072,"(41.865660898, -87.692676072)"
JE301071,07/09/2021 07:54:00 AM,063XX N CALIFORNIA AVE,0810,THEFT,OVER $500,SCHOOL - PRIVATE BUILDING,Y,N,2413,50,06,1156518,1941902,41.996362732,-87.699596251,"(41.996362732, -87.699596251)"
JE321332,07/31/2021 05:45:00 PM,050XX W BYRON ST,0560,ASSAULT,SIMPLE,SIDEWALK,N,N,1634,45,08A,1142133,1925453,41.951505308,-87.752922801,"(41.951505308, -87.752922801)"
JE305738,07/18/2021 03:00:00 AM,071XX S ARTESIAN AVE,0870,THEFT,POCKET-PICKING,BAR OR TAVERN,N,N,832,18,06,1161276,1857260,41.763999605,-87.684447774,"(41.763999605, -87.684447774)"
JE308363,07/18/2021 05:13:00 AM,033XX N NEVA AVE,0820,THEFT,$500 AND UNDER,ALLEY,N,N,1632,29,06,1127832,1921293,41.940343508,-87.805588125,"(41.940343508, -87.805588125)"
JE308494,07/18/2021 05:00:00 PM,038XX W WEST END AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,1122,28,08B,1150738,1900542,41.882982981,-87.721943557,"(41.882982981, -87.721943557)"
JE305587,07/18/2021 11:55:00 AM,063XX S DR MARTIN LUTHER KING JR DR,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,Y,312,20,08B,1180014,1862897,41.779059693,-87.615596501,"(41.779059693, -87.615596501)"
JE320988,07/31/2021 11:45:00 AM,004XX S STATE ST,0460,BATTERY,SIMPLE,LIBRARY,N,N,113,4,08B,1176436,1898416,41.876607964,-87.627644063,"(41.876607964, -87.627644063)"
JE308300,07/18/2021 12:45:00 PM,025XX W WINNEMAC AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,APARTMENT,N,N,2031,40,11,1158462,1933391,41.972968474,-87.692679306,"(41.972968474, -87.692679306)"
JE305610,07/18/2021 12:20:00 PM,036XX W DOUGLAS BLVD,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,SIDEWALK,Y,N,1011,24,15,1152381,1893215,41.862844611,-87.716103816,"(41.862844611, -87.716103816)"
JF140256,02/10/2022 06:00:00 AM,061XX W EDDY ST,0810,THEFT,OVER $500,STREET,N,N,1633,36,06,1134829,1922969,41.944821547,-87.779831542,"(41.944821547, -87.779831542)"
JE325757,07/24/2021 03:30:00 AM,006XX N CLARK ST,0320,ROBBERY,STRONG ARM - NO WEAPON,STREET,N,N,1832,42,03,1175432,1904246,41.892628411,-87.63115524,"(41.892628411, -87.63115524)"
JE326933,07/31/2021 02:30:00 PM,056XX N MILWAUKEE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,SIDEWALK,N,N,1622,45,14,1135788,1937500,41.984678947,-87.775959146,"(41.984678947, -87.775959146)"
JF163418,03/02/2022 01:00:00 PM,046XX N KEATING AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,N,N,1722,39,08A,1143863,1930549,41.965456835,-87.746434985,"(41.965456835, -87.746434985)"
JE294008,07/07/2021 08:20:00 PM,131XX S AVENUE O,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE - YARD (FRONT / BACK),N,Y,433,10,08B,1201075,1818374,41.656376716,-87.53989082,"(41.656376716, -87.53989082)"
JE298939,06/02/2021 12:42:00 PM,048XX S KEELER AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,N,N,815,14,26,1149178,1872181,41.805187074,-87.728405539,"(41.805187074, -87.728405539)"
JE293268,07/07/2021 11:49:00 AM,094XX S ASHLAND AVE,1330,CRIMINAL TRESPASS,TO LAND,GROCERY FOOD STORE,N,N,2221,21,26,1167325,1842212,41.722578383,-87.662706548,"(41.722578383, -87.662706548)"
JE292893,07/07/2021 12:30:00 AM,065XX S UNION AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,N,Y,723,20,08B,1172633,1861552,41.775534725,-87.642695404,"(41.775534725, -87.642695404)"
JE293186,07/07/2021 10:25:00 AM,137XX S BRAINARD AVE,0560,ASSAULT,SIMPLE,CTA BUS,N,N,433,10,08A,1200405,1814512,41.645795847,-87.542472012,"(41.645795847, -87.542472012)"
JE292918,07/07/2021 01:30:00 AM,034XX W DOUGLAS BLVD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,Y,Y,1021,24,08B,1153488,1893074,41.862435779,-87.712043859,"(41.862435779, -87.712043859)"
JE291366,07/05/2021 08:15:00 PM,057XX S CICERO AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,Y,N,813,13,15,1145654,1866253,41.788987036,-87.74147999,"(41.788987036, -87.74147999)"
JE295981,07/07/2021 02:30:00 PM,084XX S MUSKEGON AVE,0890,THEFT,FROM BUILDING,HOTEL / MOTEL,N,N,423,7,06,1196623,1849476,41.741834992,-87.555152602,"(41.741834992, -87.555152602)"
JE305794,07/18/2021 04:15:00 PM,029XX W BELMONT AVE,2860,PUBLIC PEACE VIOLATION,FALSE POLICE REPORT,APARTMENT,N,N,1411,33,24,1156050,1921128,41.939367192,-87.701881037,"(41.939367192, -87.701881037)"
JE320614,07/31/2021 03:23:00 AM,056XX S WABASH AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,N,Y,225,20,08B,1177676,1867664,41.792194049,-87.624023589,"(41.792194049, -87.624023589)"
JE397816,10/04/2021 12:01:00 PM,013XX W CORNELIA AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,APARTMENT,N,N,1924,44,11,1166809,1923362,41.945273114,-87.662274511,"(41.945273114, -87.662274511)"
JE351622,08/26/2021 07:00:00 PM,064XX N GLENWOOD AVE,0820,THEFT,$500 AND UNDER,SIDEWALK,N,N,2432,49,06,1165774,1942785,41.998592681,-87.665522255,"(41.998592681, -87.665522255)"
JE321738,07/31/2021 11:40:00 PM,050XX S CALUMET AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,224,3,08B,1179288,1871641,41.80307065,-87.617991333,"(41.80307065, -87.617991333)"
JE305301,07/18/2021 03:30:00 AM,0000X W HUBBARD ST,0460,BATTERY,SIMPLE,SIDEWALK,N,N,1831,42,08B,1176107,1903313,41.890053025,-87.628704402,"(41.890053025, -87.628704402)"
JE307873,07/18/2021 07:00:00 PM,018XX S HARDING AVE,0820,THEFT,$500 AND UNDER,STREET,N,N,1014,24,06,1150349,1890723,41.85604611,-87.723628089,"(41.85604611, -87.723628089)"
JE305743,07/18/2021 03:35:00 PM,038XX W GRENSHAW ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,1133,24,08B,1150981,1894765,41.867125496,-87.721202532,"(41.867125496, -87.721202532)"
JE305502,07/18/2021 10:45:00 AM,070XX S CAMPBELL AVE,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,STREET,N,N,832,17,15,1160924,1857920,41.76581802,-87.685719731,"(41.76581802, -87.685719731)"
JE309025,07/18/2021 02:00:00 PM,030XX W AINSLIE ST,0810,THEFT,OVER $500,STREET,N,N,1713,33,06,1155316,1932398,41.970307602,-87.704274662,"(41.970307602, -87.704274662)"
JE306159,07/18/2021 09:30:00 PM,036XX W 49TH PL,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),N,Y,821,14,14,1152893,1871501,41.803248499,-87.714798257,"(41.803248499, -87.714798257)"
JE305936,07/18/2021 05:53:00 PM,079XX S DOBSON AVE,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,Y,N,624,8,24,1184598,1852672,41.750895099,-87.599111301,"(41.750895099, -87.599111301)"
JE305940,07/18/2021 06:00:00 PM,085XX S MORGAN ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,N,613,21,14,1171140,1848179,41.73887027,-87.648558791,"(41.73887027, -87.648558791)"
JE305761,07/18/2021 03:00:00 AM,024XX W LE MOYNE ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,N,Y,1423,1,08B,1159897,1909902,41.908483628,-87.688052692,"(41.908483628, -87.688052692)"
JE305215,07/18/2021 12:01:00 AM,103XX S PRAIRIE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,512,9,08B,1179742,1836400,41.706355056,-87.617401841,"(41.706355056, -87.617401841)"
JE306002,07/18/2021 09:56:00 AM,036XX W SHAKESPEARE AVE,1565,SEX OFFENSE,INDECENT SOLICITATION OF A CHILD,APARTMENT,N,N,2525,35,17,1151833,1914047,41.920020531,-87.717566683,"(41.920020531, -87.717566683)"
JE305819,07/18/2021 04:50:00 PM,114XX S MICHIGAN AVE,0560,ASSAULT,SIMPLE,SMALL RETAIL STORE,Y,N,531,9,08A,1178868,1828958,41.685953051,-87.620827806,"(41.685953051, -87.620827806)"
JE326674,07/31/2021 01:00:00 AM,033XX N HALSTED ST,0870,THEFT,POCKET-PICKING,BAR OR TAVERN,N,N,1925,44,06,1170328,1922582,41.943056436,-87.649362967,"(41.943056436, -87.649362967)"
JE320912,07/31/2021 10:00:00 AM,032XX N KENNETH AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1731,30,08B,1146145,1921151,41.939624745,-87.738284404,"(41.939624745, -87.738284404)"
JE398257,10/04/2021 08:15:00 PM,032XX N RIDGEWAY AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1732,30,07,1150820,1921333,41.940033834,-87.721097487,"(41.940033834, -87.721097487)"
JE305402,07/18/2021 08:45:00 AM,067XX S CARPENTER ST,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,N,Y,724,16,24,1170473,1860188,41.771839071,-87.650653408,"(41.771839071, -87.650653408)"
JE306382,07/18/2021 04:30:00 PM,072XX N OAKLEY AVE,0820,THEFT,$500 AND UNDER,STREET,N,N,2411,50,06,1159747,1947951,42.012895189,-87.687550334,"(42.012895189, -87.687550334)"
JE305167,07/18/2021 01:00:00 AM,008XX W 101ST ST,141A,WEAPONS VIOLATION,UNLAWFUL USE - HANDGUN,STREET,N,N,2232,34,15,1172322,1837864,41.710538559,-87.644530579,"(41.710538559, -87.644530579)"
JE249601,06/01/2021 07:15:00 AM,054XX S SEELEY AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,932,16,14,1163616,1868603,41.795077544,-87.675553066,"(41.795077544, -87.675553066)"
JE250467,06/01/2021 04:00:00 PM,052XX S MAY ST,0810,THEFT,OVER $500,STREET,N,N,934,20,06,1169544,1869956,41.798663801,-87.653775827,"(41.798663801, -87.653775827)"
JE293820,07/07/2021 06:40:00 PM,073XX S CARPENTER ST,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE,N,Y,733,17,26,1170585,1856109,41.760643345,-87.650361578,"(41.760643345, -87.650361578)"
JE293878,07/07/2021 07:40:00 PM,053XX S ASHLAND AVE,0320,ROBBERY,STRONG ARM - NO WEAPON,CLEANING STORE,N,N,934,16,03,1166582,1869257,41.796809406,-87.664658051,"(41.796809406, -87.664658051)"
JE294114,07/07/2021 11:30:00 PM,002XX N KENNETH AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,RESIDENCE,N,Y,1113,28,04A,1146691,1900729,41.883574286,-87.736799695,"(41.883574286, -87.736799695)"
JE294297,07/07/2021 10:00:00 AM,131XX S ST LAWRENCE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENCE,N,Y,533,9,14,1182582,1818189,41.656316254,-87.607563747,"(41.656316254, -87.607563747)"
JE350263,08/26/2021 12:01:00 AM,076XX S LOOMIS BLVD,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,612,17,07,1168325,1854015,41.754946068,-87.65870476,"(41.754946068, -87.65870476)"
JE305542,07/18/2021 11:15:00 AM,069XX S CRANDON AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,N,N,331,5,08A,1192522,1859423,41.769231153,-87.569854828,"(41.769231153, -87.569854828)"
JE305356,07/18/2021 07:42:00 AM,032XX W WARREN BLVD,051A,ASSAULT,AGGRAVATED - HANDGUN,STREET,N,N,1123,28,04A,1154836,1900165,41.881867355,-87.706905535,"(41.881867355, -87.706905535)"
JE305864,07/18/2021 05:45:00 PM,112XX S GREEN BAY AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,N,Y,433,10,08B,1200569,1831102,41.691316414,-87.541314218,"(41.691316414, -87.541314218)"
JE305277,07/18/2021 03:37:00 AM,056XX S MICHIGAN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,225,20,14,1178117,1867732,41.792370651,-87.622404462,"(41.792370651, -87.622404462)"
JE305303,07/18/2021 05:00:00 AM,034XX N NARRAGANSETT AVE,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,APARTMENT,N,Y,1632,38,26,1133083,1922351,41.943156446,-87.786263743,"(41.943156446, -87.786263743)"
JE305205,07/18/2021 02:37:00 AM,015XX W LAWRENCE AVE,0860,THEFT,RETAIL THEFT,CONVENIENCE STORE,N,N,2032,47,06,1165103,1931954,41.968886417,-87.668300012,"(41.968886417, -87.668300012)"
JE306963,07/18/2021 02:30:00 PM,021XX S MICHIGAN AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,131,3,07,1177540,1890129,41.853842942,-87.623842041,"(41.853842942, -87.623842041)"
JE306589,07/18/2021 06:00:00 PM,069XX S PAXTON AVE,0810,THEFT,OVER $500,RESIDENCE - PORCH / HALLWAY,N,N,331,5,06,1192076,1859425,41.769247493,-87.571489559,"(41.769247493, -87.571489559)"
JE305573,07/18/2021 11:45:00 AM,049XX S CAMPBELL AVE,0560,ASSAULT,SIMPLE,RESIDENCE,N,N,923,14,08A,1160537,1871778,41.803854251,-87.686756258,"(41.803854251, -87.686756258)"
JE305428,07/18/2021 09:31:00 AM,080XX S BISHOP ST,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,ALLEY,N,N,612,21,15,1168066,1851395,41.747761997,-87.659729094,"(41.747761997, -87.659729094)"
JE305594,07/18/2021 12:34:00 PM,006XX E 115TH ST,0460,BATTERY,SIMPLE,RESTAURANT,Y,N,531,9,08B,1182383,1828813,41.685474655,-87.607964681,"(41.685474655, -87.607964681)"
JE305166,07/18/2021 01:25:00 AM,007XX W MADISON ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,Y,1232,27,08B,1171219,1900261,41.881786879,-87.646744867,"(41.881786879, -87.646744867)"
JE305645,07/18/2021 01:35:00 PM,094XX S LA SALLE ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,Y,N,634,21,15,1176944,1842276,41.72254298,-87.627471529,"(41.72254298, -87.627471529)"
