public	foia_request_log__administrative_hearings	2704 kB	2768896
public	foia_request_log__finance	2520 kB	2580480
public	vacant_and_abandoned_buildings__violations	2504 kB	2564096
public	foia_request_log__procurement_services	2440 kB	2498560
public	public_passenger_vehicle_licenses	2272 kB	2326528
public	lobbyist_data__clients	2168 kB	2220032
public	roadway_construction_moratoriums	2152 kB	2203648
public	foia_request_log__water	2120 kB	2170880
public	budget__2022_budget_recommendations__positions_and_salaries	2104 kB	2154496
public	budget__2019_budget_recommendations__positions_and_salaries	2080 kB	2129920
public	budget__2020_budget_recommendations__positions_and_salaries	2056 kB	2105344
public	budget__2018_budget_recommendations__positions_and_salaries	2040 kB	2088960
public	budget__2011_budget_ordinance__positions_and_salaries	2008 kB	2056192
public	budget__2015_budget_recommendations__positions_and_salaries	1928 kB	1974272
public	budget__2015_budget_ordinance__positions_and_salaries	1928 kB	1974272
public	foia_request_log__transportation	1920 kB	1966080
public	police_sentiment_scores	1896 kB	1941504
public	foia_request_log__streets__sanitation	1864 kB	1908736
public	budget__2016_budget_ordinance__positions_and_salaries	1856 kB	1900544
public	budget__2016_budget_recommendations__positions_and_salaries	1856 kB	1900544
public	budget__2019_budget_ordinance__positions_and_salaries	1808 kB	1851392
public	budget__2014_budget_recommendations__positions_and_salaries	1808 kB	1851392
public	budget__2014_budget_ordinance__positions_and_salaries	1808 kB	1851392
public	budget__2012_budget_recommendations__positions_and_salaries	1800 kB	1843200
public	budget__2013_budget_recommendations__positions_and_salaries	1784 kB	1826816
public	budget__2022_budget_ordinance__positions_and_salaries	1776 kB	1818624
public	budget__2017_budget_ordinance__positions_and_salaries	1744 kB	1785856
public	budget__2017_budget_recommendations__positions_and_salaries	1728 kB	1769472
public	lobbyist_data__lobbyists	1712 kB	1753088
public	budget__2018_budget_ordinance__positions_and_salaries	1704 kB	1744896
public	budget__2021_budget_ordinance__positions_and_salaries	1688 kB	1728512
public	budget__2013_budget_ordinance__positions_and_salaries	1632 kB	1671168
public	budget__2012_budget_ordinance__positions_and_salaries	1512 kB	1548288
public	employee_indebtedness_to_the_city_of_chicago	1480 kB	1515520
public	foia_request_log__oemc	1416 kB	1449984
public	chicago_public_schools__school_progress_reports_sy2122	1376 kB	1409024
public	lending_equity__savings_and_checking_accounts	1352 kB	1384448
public	chicago_public_schools__school_progress_reports_sy1516	1336 kB	1368064
public	cta__ridership__avg_weekday_bus_stop_boardings_in_october_2012	1336 kB	1368064
public	foia_request_log__law	1336 kB	1368064
public	chicago_public_schools__school_progress_reports_sy1617	1328 kB	1359872
public	chicago_public_schools__school_progress_reports_sy1718	1320 kB	1351680
public	chicago_public_schools__school_progress_reports_sy1819	1304 kB	1335296
public	min_hashes	1216 kB	1245184
public	chicago_public_schools__school_profile_information_sy1617	1184 kB	1212416
public	performance_metrics__transportation	1176 kB	1204224
public	chicago_public_schools__school_profile_information_sy2021	1160 kB	1187840
public	chicago_public_schools__school_profile_information_sy2122	1152 kB	1179648
public	lending_equity__commercial_and_consumer_lending	1144 kB	1171456
public	chicago_public_schools__school_profile_information_sy1819	1136 kB	1163264
public	chicago_public_schools__school_profile_information_sy1718	1136 kB	1163264
public	covid19_cases_tests_and_deaths_by_zip_code	1096 kB	1122304
public	flu_shot_locations__2014__present	1040 kB	1064960
public	tif_district_programming__20182022	1000 kB	1024000
public	foia_request_log__city_clerk	976 kB	999424
public	tif_district_programming__20172021	928 kB	950272
public	foia_request_log__animal_care_and_control	912 kB	933888
public	tif_district_programming__20202024	888 kB	909312
public	parking_permit_zones	864 kB	884736
public	tif_district_programming__20212025	856 kB	876544
public	budget__2012_budget_recommendations__appropriations	848 kB	868352
public	chicago_public_schools__school_admissions_information_sy1819	824 kB	843776
public	financial_incentive_projects__small_business_improvement_fund_s	816 kB	835584
public	budget__2019_budget_recommendations__appropriations	808 kB	827392
public	budget__2015_budget_recommendations__appropriations	808 kB	827392
public	budget__2018_budget_recommendations__appropriations	800 kB	819200
public	relocated_vehicles	800 kB	819200
public	budget__2020_budget_recommendations__appropriations	792 kB	811008
public	budget__2021_budget_recommendations__appropriations	784 kB	802816
public	chicago_public_schools__school_admissions_information_sy1718	776 kB	794624
public	budget__2022_budget_recommendations__appropriations	776 kB	794624
public	chicago_public_schools__school_admissions_information_sy1617	768 kB	786432
public	lobbyist_data__employers	760 kB	778240
public	budget__2013_budget_recommendations__appropriations	744 kB	761856
public	budget__2011_budget_ordinance__appropriations	744 kB	761856
public	bike_routes_deprecated_november_2021	744 kB	761856
public	tif_district_programming__20192023	736 kB	753664
public	street_sweeping_zones__2020	720 kB	737280
public	street_sweeping_zones__2021	720 kB	737280
public	bike_racks	720 kB	737280
public	beach_e_coli_predictions	704 kB	720896
public	influenza_risk_level_by_zip_code	696 kB	712704
public	budget__2017_budget_recommendations__appropriations	688 kB	704512
public	budget__2014_budget_recommendations__appropriations	688 kB	704512
public	water_exemptions	680 kB	696320
public	lobbyist_data__contributions	672 kB	688128
public	bike_routes_deprecated_january_2021	664 kB	679936
public	bike_routes_deprecated_february_2020	632 kB	647168
public	chicago_energy_benchmarking__covered_buildings	608 kB	622592
public	cdph_environmental_hold_on_cityissued_permits_and_lust_nfr	584 kB	598016
public	budget__2016_budget_recommendations__appropriations	584 kB	598016
public	budget__2012_budget_ordinance__appropriations	560 kB	573440
public	chicago_early_learning_programs	560 kB	573440
public	tif_balance_sheets__2009	560 kB	573440
public	budget__2015_budget_ordinance__appropriations	552 kB	565248
public	parks__facilities__features_deprecated_november_2016	552 kB	565248
public	foia_request_log__311	544 kB	557056
public	list_of_contractors_doing_business_with_the_city_of_chicago	536 kB	548864
public	house_share_prohibited_buildings_list	528 kB	540672
public	budget__2016_budget_ordinance__appropriations	528 kB	540672
public	budget__2014_budget_ordinance__appropriations	528 kB	540672
public	cta__ridership__daily_boarding_totals	520 kB	532480
public	budget__2013_budget_ordinance__appropriations	520 kB	532480
public	foia_request_log__planning_and_development	520 kB	532480
public	employee_reimbursements	496 kB	507904
public	budget__2017_budget_ordinance__appropriations	488 kB	499712
public	lobbyist_data__historical__lobbyist_agency_report__2010	488 kB	499712
public	tax_increment_financing_tif_annual_report__projects	480 kB	491520
public	budget__2019_budget_ordinance__appropriations	472 kB	483328
public	budget__2020_budget_ordinance__appropriations	472 kB	483328
public	budget__2022_budget_ordinance__appropriations	464 kB	475136
