CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
JE343534,08/16/2021 02:30:00 PM,006XX N MICHIGAN AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,SMALL RETAIL STORE,N,N,1834,42,11,1177327,1904307,41.892753031,-87.624193896,"(41.892753031, -87.624193896)"
JE340019,08/17/2021 02:04:00 AM,052XX W LEXINGTON ST,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,N,Y,1522,29,26,1141582,1896127,41.871041732,-87.755674327,"(41.871041732, -87.755674327)"
JE367424,09/09/2021 12:00:00 PM,044XX W MONROE ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1113,28,08B,1146829,1899294,41.879633846,-87.736329599,"(41.879633846, -87.736329599)"
JE341313,08/17/2021 12:40:00 PM,040XX N LINCOLN AVE,0820,THEFT,$500 AND UNDER,SIDEWALK,N,N,1911,47,06,1162053,1927029,41.955436401,-87.679652922,"(41.955436401, -87.679652922)"
JE340896,08/17/2021 08:10:00 PM,007XX W HUBBARD ST,0820,THEFT,$500 AND UNDER,STREET,N,N,1214,27,06,1171251,1903291,41.890100695,-87.646538319,"(41.890100695, -87.646538319)"
JE340092,08/17/2021 06:48:00 AM,068XX S LAFAYETTE AVE,0560,ASSAULT,SIMPLE,APARTMENT,N,Y,722,6,08A,1177012,1859636,41.770179389,-87.626700264,"(41.770179389, -87.626700264)"
JE343367,08/15/2021 08:45:00 PM,009XX W KINZIE ST,0810,THEFT,OVER $500,RESTAURANT,N,N,1214,27,06,1170259,1902888,41.889016567,-87.650193151,"(41.889016567, -87.650193151)"
JE340737,08/17/2021 05:09:00 PM,082XX S STATE ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,VEHICLE NON-COMMERCIAL,N,Y,631,6,08B,1177720,1850557,41.745249587,-87.624379304,"(41.745249587, -87.624379304)"
JE341205,08/17/2021 04:00:00 PM,079XX S GREEN ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,621,17,07,1172018,1852107,41.749630007,-87.645226895,"(41.749630007, -87.645226895)"
JE340512,08/17/2021 02:23:00 PM,052XX S ROCKWELL ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,923,14,14,1159927,1869800,41.798438932,-87.689047826,"(41.798438932, -87.689047826)"
JE202107,04/09/2021 12:00:00 PM,025XX W 45TH PL,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,APARTMENT,N,Y,922,15,08B,1160201,1874420,41.811111162,-87.687915781,"(41.811111162, -87.687915781)"
JE340170,08/17/2021 08:45:00 AM,017XX W 35TH ST,0460,BATTERY,SIMPLE,CTA BUS STOP,N,N,912,12,08B,1165505,1881515,41.830469658,-87.668259636,"(41.830469658, -87.668259636)"
JE340420,08/17/2021 01:16:00 PM,032XX W GEORGE ST,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,N,N,1412,35,11,1154435,1919120,41.93388958,-87.707870483,"(41.93388958, -87.707870483)"
JE367234,09/09/2021 12:55:00 PM,056XX S RACINE AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,SIDEWALK,N,Y,712,16,04A,1169283,1867384,41.791611598,-87.654807416,"(41.791611598, -87.654807416)"
JE340609,08/17/2021 03:00:00 PM,009XX W ARGYLE ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,Y,2024,48,08B,1169215,1933609,41.973339203,-87.653132052,"(41.973339203, -87.653132052)"
JE390129,09/21/2021 12:00:00 PM,016XX S RACINE AVE,0820,THEFT,$500 AND UNDER,APARTMENT,N,N,1235,25,06,1168634,1892116,41.859492718,-87.656472706,"(41.859492718, -87.656472706)"
JE340239,08/17/2021 10:13:00 AM,030XX W HARRISON ST,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,STREET,N,N,1134,28,15,1156295,1897213,41.873737423,-87.701627875,"(41.873737423, -87.701627875)"
JF119845,01/21/2022 01:25:00 PM,001XX E WALTON ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1833,2,07,1177678,1906961,41.900027764,-87.622824109,"(41.900027764, -87.622824109)"
JE313711,07/25/2021 02:17:00 PM,060XX W BERENICE AVE,0560,ASSAULT,SIMPLE,RESIDENCE,N,Y,1633,38,08A,1135461,1924970,41.950301277,-87.777460828,"(41.950301277, -87.777460828)"
JE335346,07/27/2021 12:00:00 AM,009XX N KINGSBURY ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,OTHER (SPECIFY),N,N,1822,27,11,1171921,1906423,41.898680349,-87.643985382,"(41.898680349, -87.643985382)"
JE341337,08/17/2021 11:00:00 PM,003XX N LOTUS AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1523,37,07,1139890,1901675,41.886297242,-87.761750709,"(41.886297242, -87.761750709)"
JE340944,08/17/2021 07:45:00 PM,083XX S CONSTANCE AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,N,N,412,8,05,1189980,1850014,41.74347358,-87.579474663,"(41.74347358, -87.579474663)"
JE341788,08/17/2021 11:00:00 AM,056XX S WOOD ST,1310,CRIMINAL DAMAGE,TO PROPERTY,STREET,N,Y,715,15,14,1165313,1867229,41.791271319,-87.669369055,"(41.791271319, -87.669369055)"
JE340051,08/17/2021 03:00:00 AM,002XX W 112TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,522,34,14,1176709,1830670,41.690699764,-87.628680161,"(41.690699764, -87.628680161)"
JE340800,08/17/2021 05:30:00 PM,053XX W NELSON ST,0560,ASSAULT,SIMPLE,SIDEWALK,N,N,2514,31,08A,1140308,1919763,41.935925112,-87.75977151,"(41.935925112, -87.75977151)"
JE340090,08/17/2021 02:25:00 AM,060XX W ADDISON ST,0610,BURGLARY,FORCIBLE ENTRY,CLEANING STORE,N,N,1633,36,05,1135425,1923315,41.945760425,-87.777632606,"(41.945760425, -87.777632606)"
JF120178,01/21/2022 06:10:00 PM,036XX E 110TH ST,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,433,10,06,1202018,1832632,41.695478187,-87.535957565,"(41.695478187, -87.535957565)"
JE340646,08/17/2021 03:48:00 PM,009XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,Y,N,1833,42,06,1177324,1906733,41.899410159,-87.624131266,"(41.899410159, -87.624131266)"
JE340210,08/17/2021 09:40:00 AM,007XX W KINZIE ST,0820,THEFT,$500 AND UNDER,STREET,N,N,1214,27,06,1171336,1902915,41.88906706,-87.64623722,"(41.88906706, -87.64623722)"
JE340321,08/17/2021 11:20:00 AM,029XX N KOLMAR AVE,0498,BATTERY,"AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY",APARTMENT,N,Y,2521,31,04B,1145548,1919066,41.933914665,-87.740531567,"(41.933914665, -87.740531567)"
JE366829,09/09/2021 05:20:00 AM,088XX S STATE ST,1365,CRIMINAL TRESPASS,TO RESIDENCE,RESIDENCE - GARAGE,N,Y,632,9,26,1177842,1846341,41.733677608,-87.624059598,"(41.733677608, -87.624059598)"
JE338214,08/15/2021 12:00:00 PM,072XX N ASHLAND BLVD,0460,BATTERY,SIMPLE,CHURCH / SYNAGOGUE / PLACE OF WORSHIP,N,N,2423,49,08B,1164459,1948024,42.01299665,-87.670210436,"(42.01299665, -87.670210436)"
JE344593,08/07/2021 12:00:00 AM,054XX W MONTROSE AVE,1710,OFFENSE INVOLVING CHILDREN,ENDANGERING LIFE / HEALTH OF CHILD,RESIDENCE,N,Y,1623,38,20,1139320,1928723,41.960530303,-87.763183497,"(41.960530303, -87.763183497)"
JE366826,09/09/2021 04:30:00 AM,011XX W MADISON ST,0610,BURGLARY,FORCIBLE ENTRY,RESTAURANT,N,N,1224,25,05,1169076,1900199,41.881663524,-87.654615667,"(41.881663524, -87.654615667)"
JE340799,08/17/2021 06:00:00 PM,019XX N KOSTNER AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,2534,35,08B,1146747,1912491,41.915849406,-87.736293477,"(41.915849406, -87.736293477)"
JE340247,08/17/2021 10:30:00 AM,069XX N ASHLAND BLVD,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,Y,N,2431,49,14,1164516,1946316,42.008308654,-87.670049398,"(42.008308654, -87.670049398)"
JE340011,08/17/2021 12:40:00 AM,044XX S MARSHFIELD AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,924,15,08B,1166081,1875274,41.813331428,-87.666324037,"(41.813331428, -87.666324037)"
JE390800,09/23/2021 12:50:00 PM,079XX S PAULINA ST,0460,BATTERY,SIMPLE,STREET,N,N,611,17,08B,1166389,1852150,41.749869687,-87.665852691,"(41.749869687, -87.665852691)"
JE367474,09/09/2021 04:00:00 PM,052XX S KEELER AVE,0460,BATTERY,SIMPLE,COMMERCIAL / BUSINESS OFFICE,N,N,815,23,08B,1149257,1869387,41.797518392,-87.72818794,"(41.797518392, -87.72818794)"
JE340155,08/17/2021 07:55:00 AM,068XX W ROSCOE ST,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,Y,N,1632,36,26,1130297,1921840,41.941802539,-87.796515645,"(41.941802539, -87.796515645)"
JE340451,08/17/2021 11:01:00 AM,045XX S OAKENWALD AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,N,N,222,4,11,1185743,1875147,41.812541507,-87.594207581,"(41.812541507, -87.594207581)"
